"film","directors","writers","countries"
"Little Annie Rooney","William Washington Beaudine","Hope Loring; Louis D. Lighton; Mary Pickford","the United States"
"Charas","Chandramauli Chopra","Ramanand Sagar; Ved Rahi","Bhārat Gaṇarājya; India"
"El Lute: camina o revienta","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Ghosts of Girlfriends Past","Mark Stephen Waters","Jon Lucas; Scott Moore","the United States"
"Avanthan Manithan","A. Chengalvaraya Mudaliar Thirulokachander","Panchu Arunachalam","Bhārat Gaṇarājya; India"
"November 1828","Steve Liem Tjoan Hok","Teguh Karya","Indonesia; Republik Indonesia"
"Oru Varsham Oru Maasam","Nambiathusseril Varkey John","Kanam EJ","Bhārat Gaṇarājya; India"
"Southland Tales","James Richard Kelly","Richard Kelly","the United States"
"Onningu Vannengil","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Cactus Flower","Jean Michael Saks","Abe Burrows; I. A. L. Diamond","the United States"
"Salmonberries","Paul Rudolf Parsifal Adlon","Percy Adlon","Germany"
"The Last Roman","Sergiu Florin Nicolaescu","David Ambrose; Felix Dahn; Ladislas Fodor","''; Federal Republic of Germany; Italy; West Germany"
"Avvaiyar","Subramanian","Kothamangalam Subbu","Bhārat Gaṇarājya; India"
"Dance of Ganesha","Bikas Ranjan Mishra","Bikas Mishra","Bhārat Gaṇarājya; India"
"The Blue Angel","Jonas Sternberg","Carl Zuckmayer; Josef von Sternberg; Karl Vollmöller; Robert Liebmann","Deutsches Reich; German Reich; Weimar Republic"
"Shivashankar","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"The Knowledge","Bob Brooks","Jack Rosenthal","United Kingdom"
"Bowery to Broadway","Charles Fred Lamont","Arthur T. Horman; Bart Lytton","the United States"
"Lola Montès","Maximillian Oppenheimer","Max Ophüls","France"
"Ted 2","Seth Woodbury MacFarlane","Alec Sulkin; Wellesley Wild","the United States"
"Padmavyooham","Nambiathusseril Varkey John","J. Sasikumar; S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Anumati","Gajendra Vitthal Ahire","Gajendra Ahire","Bhārat Gaṇarājya; India"
"Spirits of the Air, Gremlins of the Clouds","Alexander Proyas","Alex Proyas","Australia"
"Tere Naam","Satish Chandra Kaushik","Bala; Jainendra Jain; Jainendra K. Jain","Bhārat Gaṇarājya; India"
"Gangs of Wasseypur – Part 1","Anurag Singh Kashyap","Akhilesh Jaiswal; Anurag Kashyap; Zeishan Quadri","Bhārat Gaṇarājya; India"
"Ultimo tango a Zagarol","Fernando Cicero","Mario Mariani; Nando Cicero","Italy"
"Tad, the Lost Explorer","Enrique Gato Borregán","Neil Landau","Spain"
"Censor","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Vanitha Police","Ashraf","Priyadarshan","Bhārat Gaṇarājya; India"
"Nenu Naa Rakshasi","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
"7 Chinese Brothers","Robert Byington","Bob Byington","the United States"
"Patrani","Kunnesscri Shankar","Rajendra Krishan","Bhārat Gaṇarājya; India"
"Scissors","Frank Paul De Felitta","Joyce Selznick","the United States"
"AKA Confidential Report","George Orson Welles","Orson Welles","Spain"
"Hum Naujawan","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Mohavum Mukthiyum","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Dolly, Lotte und Maria","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"The Monster Walks","Frank R. Strayer","Robert Ellis","the United States"
"Into the Wild","Sean Justin Penn","Sean Penn","the United States"
"Waiting for Guffman","Christopher Haden-Guest","Christopher Guest; Eugene Levy","the United States"
"Citizen Kane trailer","George Orson Welles","Orson Welles","the United States"
"Bach's Fight for Freedom","Stuart Thomas Gillard","David Devine","Canada; the Czech Republic"
"Sarjan Hassan","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Federation of Malaya; Malaya; Persekutuan Tanah Melayu; ڤرسكوتوان تانه ملايو"
"The Battle of Rogue River","William Schloss, Jr.","Douglas Heyes","the United States"
"Boy","Taika David Waititi","Taika Waititi","Aotearoa (Māori); New Zealand"
"Enippadikal","Thoppil Bhaskara Pillai","Thakazhi Sivasankara Pillai; Thoppil Bhasi","Bhārat Gaṇarājya; India"
"The Hole","Joseph James Dante, Jr.","Mark L. Smith","the United States"
"Deep Space","Fred Olen Ray","Fred Olen Ray","the United States"
"Dragon Ball: Curse of the Blood Rubies","Daisuke Nishio","Toshiki Inoue","Japan"
"36 Chowringhee Lane","Aparna","Aparna Sen","Bhārat Gaṇarājya; India"
"Aadavaallu Meeku Joharlu","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"The Three Sisters","John Peter Sichel","Anton Chekhov; Moura Budberg","United Kingdom"
"Oliver Twist","Rajmund Roman Thierry Polański","Ronald Harwood; Sir Ronald Harwood","the Czech Republic"
"Atlantic Ferry aka Sons of the Sea","Thomas Seymour Woolford","Edward Dryhurst; Emeric Pressburger; Gordon Wellesley","the United States"
"The Alien Dead","Fred Olen Ray","Fred Olen Ray","the United States"
"Sybil","Giuseppe Danielle Sorgente","Flora Rheta Schreiber; John Pielmeier","the United States"
"Real Life","Panagiotis Koutras","Panos H. Koutras","France; Greece"
"A Little Bit of Fluff","George Dryden Wheeler, Jr.","Jess Robbins","United Kingdom"
"Mirrors","Alexandre Jouan-Arcady","Alexandre Aja; Grégory Levasseur","the United States"
"Samarpane","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Thommante Makkal","Nambiathusseril Varkey John","J. Sasikumar; P. J. Antony; പി.ജെ. ആന്റണി","Bhārat Gaṇarājya; India"
"Aalmaaraattam","Pattathil Venugopalan Menon","P. Venu","Bhārat Gaṇarājya; India"
"Adam's Woman","Philip David Charles Leacock","Richard Fiedler","Australia"
"Dangerous Twins","Akanni Adeniji","Niji Akanni","Nigeria; font-size:78%;"
"Kodathy","Joshi","Kaloor Dennis; Prathapachandran; Prathapachandran  Nair","Bhārat Gaṇarājya; India"
"Come See the Paradise","Alan William Parker","Alan Parker; Sir Alan Parker","the United States"
"Sheriyo Thetto","Sukumaran Nair","Thikkurissy Sukumaran Nair; തിക്കുറിശ്ശി സുകുമാരൻ നായർ","Bhārat Gaṇarājya; India"
"Dheerasameere Yamuna Theere","Madhavan Nair","Cheri Viswanath","Bhārat Gaṇarājya; India"
"Naa Ninna Mareyalare","ವಿಜಯ್","Vijay","Bhārat Gaṇarājya; India"
"When the Sky Falls","John Leonard Duncan MacKenzie","Colum McCann","Ireland; United Kingdom"
"Heart of Glass","Werner Herzog Stipetić","Herbert Achternbusch; Werner Herzog","''; Federal Republic of Germany; West Germany"
"The Tango Lesson","Charlotte Sally Potter","Sally Potter","Argentina; the Netherlands"
"Davy","Michael Leighton George Relph","William Rose","United Kingdom"
"Blücher","Oddvar Bull Tuhus","Oddvar Bull Tuhus; Sverre Årnes","Norway"
"S.O.B.","William Blake Crump","Blake Edwards","the United States"
"Vayasu Pilichindi","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Kick","Patthi Surender Reddy","Surender Reddy","Bhārat Gaṇarājya; India"
"Landon Hayes and Friends","Timothy Hill","Jon Vitti","the United States"
"Marie Antoinette","Sofia Carmina Coppola","Sofia Coppola","France; Kingdom of France; Royaume de France"
"Kursi al-I`tiraf","Youssef Wahby","Youssef Wahbi","Egypt"
"The Dancer and the Thief (El Baile de la Victoria)","Fernando Rodríguez Trueba","Antonio Skármeta; Fernando Trueba","Chile"
"Hajen som visste för mycket","Claes Ingvar Eriksson","Claes Eriksson","Konungariket Sverige; Sweden"
"Bojhena Shey Bojhena","Raj Chakraborty","M. Saravanan","Bhārat Gaṇarājya; India"
"Kari Puranda Jeevithangal","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"As It Is in Heaven","Kay Gunnar Leopold Pollak","Kay Pollak","Konungariket Sverige; Sweden"
"Mihail, câine de circ","Sergiu Florin Nicolaescu","Jack London","''; Federal Republic of Germany; Romania; West Germany"
"Goya's Ghosts","Jan Tomáš Forman","Jean-Claude Carrière; Miloš Forman","Spain; the United States"
"నా ఇల్లు","Vuppaladadiyam Nagaiah","Devulapalli Krishnasastri; Devulapalli Venkata Krishnasastri","Bhārat Gaṇarājya; India"
"Escape from Fort Bravo","John Eliot Sturges","Frank E. Fenton; Frank Fenton; Michael Pate","the United States"
"Seilama","Hapuarachchige Don Premaratne","Simon Navagattegama; Simon Navagattegama'''","Sri Lanka"
"We Love You, Sally Carmichael!","Christopher David Gorham","Daryn Tufts","the United States"
"Libertarias","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Interiors","Allan Stewart Konigsberg","Woody Allen","the United States"
"Les Fugitifs","Francis Paul Veber","Francis Veber","France"
"Manitha Jaathi","P. Kalaimani","P. Kalaimani","Bhārat Gaṇarājya; India"
"Steve Jobs: The Man in the Machine","Philip Alexander Gibney","Alex Gibney","the United States"
"A Virus Knows No Morals","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"Kongi's Harvest","Raiford Chatman Davis","Wole Soyinka","Nigeria; font-size:78%;"
"Seven Gold Men in Space","Alfonso Brescia","Alfonso Brescia","Italy"
"Romeo and Juliet","Gianfranco Zeffirelli","Franco Brusati; Franco Zeffirelli","Italy; United Kingdom"
"Wolf Dog","Samuel Neufeld","Louis Stevens","Canada"
"Ekaveera","Chittajallu Srinivasa Rao","C. Narayana Reddy; Viswanadha Satyanarayana; Viswanatha Satyanarayana","Bhārat Gaṇarājya; India"
"Udaykal","Shantaram Rajaram Vankudre","Baburao Pendharkar","Bhārat Gaṇarājya; India"
"La Maison du Bonheur","Daniel Hamidou","Dany Boon","France"
"The Tin Star","Emil Anton Bundesmann","Dudley Nichols","the United States"
"Ностальгия","Andrei Arsenyevich Tarkovsky","Andrei Tarkovsky; Tonino Guerra","Italy"
"Sangre de mayo","José Luis García Muñoz","José Luis Garci","Spain"
"Red Love","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"Capitães de Abril","Maria de Medeiros Esteves Vitorino de Almeida","Maria de Medeiros","Portugal"
"The Favor","Donald Mark Petrie","Josann McGibbon","the United States"
"God's Little Acre","Emil Anton Bundesmann","Ben Maddow; Philip Yordan","the United States"
"Escape from New York","John Howard Carpenter","John Carpenter; Nick Castle","the United States"
"Ajayanum Vijayanum","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Nayak","Munin Barua","Munin Barua","Bhārat Gaṇarājya; India"
"Tiga Abdul","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia"
"Attack the Block","Joseph Murray Cornish","Joe Cornish","United Kingdom"
"Kutob","Jose Javier Reyes","Jose Javier Reyes; José Javier Reyes","Republika ng Pilipinas; the Philippines"
"Anveshane","Talakadu Srinivasaiah Nagabharana","Girish Karnad; T. S. Nagabharana","Bhārat Gaṇarājya; India"
"So Close, So Far","رضا میرکریمی","Reza Mirkarimi","Iran"
"Cold Heaven","Nicolas Jack Roeg","Allan Scott","the United States"
"Anna and the Wolves","Carlos Saura Atarés","Carlos Saura; Rafael Azcona","Spain"
"Slaughterhouse Rock","Dimitri Logothetis","Dimitri Logothetis","the United States"
"Khandavideko Mamsavideko","Palyada Lankeshappa","P. Lankesh","Bhārat Gaṇarājya; India"
"Nawab Sahib","Rajinder Singh Bedi","Rajinder Singh Bedi","Bhārat Gaṇarājya; India"
"Christmas Present","Giuseppe Avati","Pupi Avati","Italy"
"Antara Dua Darjat","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia"
"Shanthi Nivasa","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Nyayavidhi","Joshi","Dennis Joseph","Bhārat Gaṇarājya; India"
"Don Giovanni","Joseph Walton Losey III","Joseph Losey; Renzo Rossellini; Rolf Liebermann","France; United Kingdom"
"Sayonara Jupiter","Minoru Komatsu","Sakyo Komatsu","Japan"
"Nadie oyó gritar","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Spain"
"Sandarbham","Joshi","Cochin Haneefa; Kaloor Dennis","Bhārat Gaṇarājya; India"
"Loafer(1996)","Rajinder Dhawan","Jalees Sherwani; P. Vasu","Bhārat Gaṇarājya; India"
"Thomas and the Magic Railroad","Hilary Mary Allcroft","Britt Allcroft; Hilary Britt Allcroft","Canada"
"The Wonderful World of the Brothers Grimm","György Pál Marczincsak","Charles Beaumont; William Roberts","Germany"
"Aayiram Kannukal","Joshi","Dennis Joseph","Bhārat Gaṇarājya; India"
"Thirumathi Oru Vegumathi","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"Come and See","Elem Germanovich Klimov","Ales Adamovich","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Ennodishtam Koodamo","Kamaluddin Mohammed Majeed","Raghunath Paleri","Bhārat Gaṇarājya; India"
"Hajji Washington","Ali Hatami","Ali Hatami","Iran"
"Heavy Traffic","Ralph Bakshi","Ralph Bakshi","the United States"
"From a Whisper","Wanuri Kahiu","Wanuri Kahiu","Jamhuri ya Kenya; Kenya"
"Montevideo, Bog te Video!","Dragan Bjelogrlić","Srđan Dragojević","Republika Srbija; Serbia; Република Србија"
"Agora","Alejandro Fernando Amenábar Cantos","Alejandro Amenábar; Mateo Gil","Spain"
"Khakee","Rajkumar Santoshi","Rajkumar Santoshi","Bhārat Gaṇarājya; India"
"The Man Who Loved Women","William Blake Crump","Blake Edwards","the United States"
"Year Zero War in Space","Alfonso Brescia","Alfonso Brescia; Massimo Lo Jacono","Italy"
"Janumadatha","Talakadu Srinivasaiah Nagabharana","T. S. Nagabharana","Bhārat Gaṇarājya; India"
"Slow Dancing in the Big City","John Guilbert Avildsen","Barra Grant","the United States"
"The Mackintosh Man","John Marcellus Huston","Walter Hill; William Fairchild","United Kingdom; the United States"
"Cry Freedom","Richard Samuel Attenborough","John Briley","South Africa"
"Socrates (Spanish subtitles)","Roberto Gastone Zeffiro Rossellini","Jean-Dominique de La Rochefoucauld; Marcella Mariani; Renzo Rossellini; Roberto Rossellini","France; Italy; Spain"
"Swarnna Kireedam","V. M. Vinu","Kaloor Dennis","Bhārat Gaṇarājya; India"
"La Soif de l'or","Max-Gérard Houry Tannenbaum","Christian Clavier; Gérard Oury; Marcel Jullian","France"
"Human Cobras","Adalberto ""Bitto"" Albertini","Ernesto Gastaldi","Italy"
"Ghazal","Masoud Kimiai","Jorge Luis Borges; Masoud Kimiai","Iran"
"Men at Work","Mani Haghighi","Mani Haghighi","Iran"
"Navagraha Nayagi","Kunnesscri Shankar","""Vietnam Veedu"" Sundaram; K. Shankar; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"The Yellow Balloon","John Lee Thompson","J. Lee Thompson","United Kingdom"
"Damsels in Distress","John Whitney Stillman","Whit Stillman","the United States"
"The End","Burton Leon Reynolds","Jerry Belson","the United States"
"1921","Irruppam Veedu Sasidaran","T. Damodaran; ടി. ദാമോദരൻ","Bhārat Gaṇarājya; India"
"Mädchen in Uniform","Leontine Schlesinger","Christa Winsloe","Deutsches Reich; German Reich; Weimar Republic"
"The Year of Living Dangerously","Peter Lindsay Weir","David Williamson","Australia"
"The Campus Queen","Tunde Kelani","Akinwunmi Isola","Nigeria; font-size:78%;"
"Oglinda - Începutul adevărului","Sergiu Florin Nicolaescu","Sergiu Nicolaescu","Romania"
"Ningalenne Communistakki","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Ted","Seth Woodbury MacFarlane","Alec Sulkin; Wellesley Wild","the United States"
"Weather Is Good on Deribasovskaya, It Rains Again on Brighton Beach","Leonid Iovich Gaidai","Leonid Gaidai","Russia"
"Kokowääh","Tilman Valentin Schweiger","Til Schweiger","Germany"
"Samudhiram","K. S. Ravikumar","K. S. Ravikumar","Bhārat Gaṇarājya; India"
"Submission","Theodoor van Gogh","Ayaan Hirsi Ali","the Netherlands"
"Treacle Jr.","James Thraves","Jamie Thraves","United Kingdom"
"The Viking Watch of the Danish Seaman","Bodil Louise Jensen Ipsen","Grete Frische","Denmark"
"Weekend at Dunkirk","Ashot Malakian","François Boyer; Robert Merle","France; Italy"
"The Road from Elephant Pass","Chandran Rutnam","Chandran Rutnam","Sri Lanka"
"Muruga","Neason","R. T. Neason","Bhārat Gaṇarājya; India"
"Amistad","Steven Allan Spielberg","David Franzoni","the United States"
"Il burbero","Franco Castellano; Giuseppe Moccia","Castellano & Pipolo; Castellano and Pipolo","Italy"
"Puteri Impian","Aziz Bin Osman","Aziz M. Osman","Malaysia"
"दीदार","Pramod Chakravorty","Sachin Bhaumick; Sachin Bhowmick; শচীন ভৌমিক","Bhārat Gaṇarājya; India"
"Jeevana Jyothi","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"The Desert Hawk","William Reeves Eason","Sherman L. Lowe","the United States"
"Sabarimalayil Thanka Sooryodayam","Kunnesscri Shankar","Kedamangalam Sadanandan","Bhārat Gaṇarājya; India"
"Chino","John Eliot Sturges","Clair Huffaker","Spain"
"Raja Veettu Kannukkutty","Chithamur Vijayaraghavulu Rajendran","Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Isai","Sammanasu Justin Surya","S. J. Surya","Bhārat Gaṇarājya; India"
"Kshamichu Ennoru Vakku","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Avala Neralu","Appadanda T. Raghu","A. T. Raghu; A.T.Raghu","Bhārat Gaṇarājya; India"
"The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom","Michael Brunswick Ritchie","Jane Anderson","the United States"
"क्योंकि","Priyadarshan Soman Nair","Neeraj Vora; Priyadarshan","Bhārat Gaṇarājya; India"
"The Brothers Grimm","Terrence Vance Gilliam","Ehren Kruger","the Czech Republic"
"Kandam Becha Kottu","Tiruchengodu Ramalingam Sundaram","K. T. Muhammed","Bhārat Gaṇarājya; India"
"Kaamadhenu","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"Sexy Partners","Hiroki Mukae","Kan Mukai","Japan"
"Veerappu","Badrinarayan Ranganathan","Badri","Bhārat Gaṇarājya; India"
"Super Size Me","Morgan Valentine Spurlock","Morgan Spurlock","the United States"
"Catchfire","Dennis Lee Hopper","Alex Cox; Tod Davies","the United States"
"Thai Thangai Paasam","Vijaya Thesingu Rajender","T. Rajendar","Bhārat Gaṇarājya; India"
"Horse Feathers","Norman Zenos McLeod","Bert Kalmar; Harry Ruby; S. J. Perelman; Will B. Johnstone","the United States"
"Dan in Real Life","Peter Simpson Hedges","Peter Hedges","the United States"
"The Italian","Reginald C. Barker","C. Gardner Sullivan; Thomas H. Ince","the United States"
